MeasureID,MeasureDescription
6,1 fish (500 g)
7,1 lobster (900 g)
8,1 abalone
9,1 anchovy
11,1 balsam-pear
12,1 bar
13,1 bar (75 ml)
14,1 beet (5 cm dia)
15,1 biscuit
16,1 biscuit ( 2.5 cm x 5.7 cm dia)
17,1 biscuit (1 cm x 9 cm dia)
20,1 biscuit (2.5 cm x 6.4 cm dia)
23,1 block
24,1 box
25,1 braided loaf
26,1 bulb
27,1 burger
28,1 cake
29,1 cake (2 layer, 20 cm dia)
30,1 cake (2 layer, 23 cm dia)
31,1 cake (20 cm x 20 cm)
34,1 cake (25.4 cm dia tube)
36,1 cake (5 cm x 20 cm dia)
37,1 can
38,1 can (284 ml)
39,1 can (355 ml)
40,1 can diluted
42,1 cheesefurter
43,1 chestnut
44,1 chimichanga
45,1 chop
46,1 chop (113 g)
47,1 chop (151 g)
48,1 cone
49,1 cookie
51,1 cookie (0.9 cm x 7.6 cm dia)
53,1 cookie (4.1 cm x 4.1 cm)
54,1 cookie (5.1 cm dia)
55,1 cookie (5.1 cm x 5.1 cm)
56,1 cookie (5.7 cm dia)
59,1 cookie (6.7 cm dia)
60,1 cookie (7 cm dia)
61,1 cookie (7 cm x 2.2 cm)
62,1 cookie (7.6 cm dia)
63,1 cookie (7.9 cm x 3.2 cm x 0.9 cm)
64,1 biscuit (3.5 cm x 8.3 cm)
65,1 cookie (8.9 cm x 2.5 cm x 1.3 cm)
66,1 cookie (8.9-10.2 cm dia)
70,1 crab (150 g)
71,1 crab (700 g)
72,1 cracker
73,1 crayfish
74,1 cream puff (8.9 cm dia)
75,1 croissant
76,1 crust (23 cm dia)
77,1 cube (10.5g)
79,1 doughnut (10,2 cm dia)
80,1 doughnut (11.4 cm x 8.9 cm, oval)
81,1 doughnut (7.6 cm dia)
82,1 doughnut (8.9 cm dia)
83,1 doughnut (8.9 cm x 6.3 cm, oval)
84,1 doughnut (9.5cm dia)
85,1 drink box (250ml)
86,1 drumstick
88,1 ear
89,1 eclair (12.7cm x 5cm x 4.4cm)
90,1 egg
91,1 egg (60ml)
92,1 eggplant peeled
93,1 enchilada
94,1 enchirito
95,1 envelope
96,1 envelope (8 per 127g)
97,1 fillet
98,1 fillet (11 cm x 5 cm x 0.6 cm)
99,1 fish (1100g)
100,1 fish (1300g)
101,1 fish (1800g)
102,1 fish (2200g)
103,1 fish (225g)
105,1 fish (350g)
106,1 fish (700g)
107,1 fish (900g)
108,1 fritter
110,1 fruit
112,1 fruit (14 cm dia)
113,1 fruit (14.6 cm x 7.3 cm x 6 cm)
115,1 fruit (5 cm dia)
117,1 fruit (6.4 cm dia)
118,1 fruit (6.4 cm x 7.6 cm dia)
119,1 fruit (6.7 cm dia)
120,1 fruit (6.8 cm dia)
122,1 fruit (7.3 cm dia)
123,1 fruit (8.3 cm x 7.3 cm dia)
124,1 fruit (8.5 cm x 7.6 cm dia)
128,1 gizzard
129,1 gourd
130,1 gourd (33.7 cm x 4.4 cm dia)
131,1 head
134,1 heart
135,1 hotdog
136,1 hushpuppy (5.7 cm x 3.2 cm)
137,1 ice cube
138,1 kidney
139,1 large
140,1 large (30-40)
141,1 large clam
142,1 large egg
143,1 large fruit
144,1 large fruit (6 cm dia)
145,1 large link
146,1 large patty
148,1 leaf
149,1 leek
150,1 leg
152,1 link
155,1 liver
158,1 loaf (23 cm x 12.7 cm x 7.6 cm)
159,1 lobster (700g)
160,1 medium
161,1 medium fruit (5.4 cm dia)
162,1 medium patty
163,1 medium slice
164,1 muffin
167,1 muffin (5.1 cm x 7 cm dia)
171,1 mushroom
172,1 neck
174,1 package
175,1 pancake (15.2 cm dia)
176,1 pancake (8 cm dia)
177,1 parsnip (16.5 cm x 2.5 cm dia)
178,1 pastry
180,1 pastry (16.5 cm x 1.9 cm)
181,1 pastry (7.5 cm dia)
183,1 patty
184,1 patty (5.7 cm dia)
185,1 pepper
186,1 pepper (9.5 cm x 7.6 cm dia)
190,1 pickle
191,1 pie
192,1 pie (12.7 cm x 9.5 cm)
193,1 pie (20 cm dia)
194,1 pie (23 cm dia)
195,1 pie, ready to serve
196,1 piece
197,1 piece (10 cm x 5 cm x 1.3 cm)
199,1 piece (11 cm x 5 cm x 2 cm)
200,1 piece (11 cm x 6 cm x 2 cm)
201,1 piece (12 cm x 5 cm x 2 cm)
202,1 piece (14 cm x 4 cm x 1 cm)
205,1 piece (4.5 cm x 4 cm x 4 cm)
206,1 piece (5 cm x 3 cm x 1.2 cm)
207,1 piece (6 cm x 4 cm x 4 cm)
208,1 piece (6.3 cm x 5 cm dia)
210,1 pita (16.5 cm dia)
211,1 pizza (12'' )
212,1 pop
213,1 pop (75ml)
216,1 potato
217,1 potato (12cm x 6cm dia)
218,1 potato (6.3cm dia)
219,1 pouch
220,1 portion (pouch) prepared
221,1 pretzel
222,1 pudding cup
223,1 radish (18cm x 6cm dia)
224,1 rectangle
227,1 roll
228,1 roll (6.3cm dia)
229,1 roll (8.9cm dia)
230,1 root
231,1 round
232,1 saltine cracker
233,1 sandwich
234,1 sardine (12cm long)
235,1 sardine (7.5cm long)
236,1 sheet
237,1 sheet (42cm x 30.5cm, thin)
238,1 shell (12.7cm dia)
242,1 shell (9cm dia)
243,1 shoot
244,1 shoot (39cm x 2.9cm dia)
245,1 slice
247,1 slice (0.3cm x 10cm dia)
248,1 slice (0.3cm x 10.5cm dia)
251,1 slice (0.6cm)
252,1 slice (1.3cm x 8.3cm dia)
253,1 slice (10cm x 10cm x 0.2cm)
254,1 slice (10.8cm x 7.6cm x 1.9cm)
256,1 slice (11 per 175g package)
260,1 slice (12.7cm x 10.2cm x 1.9cm)
263,1 slice (12.7cm x 9.5cm x 1.3cm)
264,1 slice (13cm x 12cm x 0.2cm)
266,1 slice (16cm x 10cm x 0.2cm)
267,1 slice (17 per 375g package)
269,1 slice (2cm x 9cm dia)
271,1 slice (6 per 175g package)
273,1 slice (8 per 175g package)
274,1 small box
276,1 smelt
277,1 snack cake
278,1 spear
279,1 square
280,1 square (17.8cm x 17.8cm)
281,1 squid
283,1 stem
284,1 stick
285,1 stick (19.4cm x 1.6cm dia)
286,1 strip (21.5cm. long)
287,1 strudel
289,1 sundae
290,1 super colossal
292,1 sweet roll (7cm x 7cm)
293,1 medium (12.7cm x 5.1cm dia)
294,1 tablet
296,1 thick wiener
297,1 thigh
298,1 toast
299,1 tomato
301,2 tostadas
302,1 triple
304,1 waffle (10.2cm dia)
305,1 waffle (17.8cm dia)
306,1 wiener
307,1 wing
309,1 oz whiskey
310,1.5 oz whiskey
311,1/10 cake (300g)
312,1/10 fruit (20cm x 5cm dia)
313,1/12 cake (23cm dia)
314,1/12 cake (454g)
315,1/2 back
316,1/2 bird
318,1/2 foot
319,1/2 fruit (13cm dia)
320,1/2 fruit (9.5cm dia)
322,1/4 small fruit
323,1/5 head
324,1/6 (17.8cm dia)
325,1/6 cake (20cm dia)
326,1/6 cake (482g)
327,1/6 pie (20cm dia)
328,1/8 pie (23cm dia)
329,1/8 ring (425g)
331,1/9 cake (567g)
332,10 chips
333,10 fruits
334,10 halves
336,10 pieces
